rank,batter,total_runs
272,Kamran Akmal,128
273,UT Khawaja,127
274,P Dogra,127
275,TK Curran,127
276,SS Prabhudessai,126
277,M Morkel,126
278,MC Juneja,125
279,BB Samantray,125
280,MM Sharma,124
281,B Lee,124
282,Harpreet Singh,123
283,AB McDonald,123
284,DL Vettori,121
285,NK Patel,121
286,TG Southee,120
287,AC Blizzard,120
288,Z Khan,117
289,Misbah-ul-Haq,117
290,RJ Harris,117
291,MW Short,117
292,KK Cooper,116
293,DJM Short,115
294,R Shepherd,115
295,Aman Hakim Khan,115
296,M Kartik,113
297,DJ Harris,111
298,Mohammed Siraj,109
299,LJ Wright,106
300,JDP Oram,106
301,SE Rutherford,106
302,MA Starc,105
303,DS Kulkarni,104
304,RJ Quiney,103
305,MS Gony,99
306,SD Chitnis,99
307,MJ Clarke,98
308,CJ Ferguson,98
309,PN Mankad,97
310,Arshad Khan,96
311,JDS Neesham,92
312,PR Shah,92
313,DJ Jacobs,92
314,RT Ponting,91
315,S Rana,91
316,AJ Tye,91
317,AD Nath,90
318,SL Malinga,88
319,Iqbal Abdulla,88
320,AP Majumdar,87
321,Ankit Sharma,87
322,MJ McClenaghan,85
323,TA Boult,83
324,RE Levi,83
325,NM Coulter-Nile,82
326,LA Carseldine,81
327,Shahid Afridi,81
328,WPUJC Vaas,81
329,CJ Jordan,81
330,DL Chahar,80
331,RV Patel,80
332,AD Mascarenhas,79
333,JR Philippe,78
334,CR Woakes,78
335,B Akhil,76
336,IR Jaggi,76
337,TR Birt,75
338,Mohammed Shami,74
339,RR Sarwan,73
340,M Klinger,73
341,PWH de Silva,72
342,MJ Santner,70
343,J Suchith,70
344,AA Bilakhia,69
345,Vivrant Sharma,69
346,LH Ferguson,68
347,JJ Bumrah,68
348,RR Powar,67
349,HR Shokeen,66
350,R Sharma,66
351,M Jansen,66
352,WD Parnell,65
353,KA Jamieson,65
354,GD Phillips,65
355,Mohammad Hafeez,64
356,Anirudh Singh,63
357,A Flintoff,62
358,SP Jackson,61
359,S Aravind,59
360,MG Bracewell,58
361,I Sharma,57
362,Vishnu Vinod,56
363,WA Mota,56
364,M Rawat,55
365,Sandeep Sharma,54
366,DJ Willey,53
367,A Chopra,53
368,Shoaib Malik,52
369,RP Singh,52
370,OF Smith,51
371,R Rampaul,51
372,Sameer Rizvi,51
373,KB Arun Karthik,51
374,Swapnil Singh,51
375,Shivam Mavi,51
376,VR Aaron,50
377,RV Gomez,50
378,SB Bangar,49
379,AG Paunikar,49
380,AS Yadav,49
381,A Nortje,49
382,T Kohler-Cadmore,48
383,M Markande,48
384,Yashpal Singh,47
385,D Pretorius,44
386,DR Sams,44
387,Sunny Singh,43
388,PVD Chameera,43
389,AB Barath,42
390,Azmatullah Omarzai,42
391,SK Trivedi,42
392,A Nehra,41
393,Avesh Khan,41
394,BR Dunk,40
395,J Yadav,40
396,Rasikh Salam,40
397,LPC Silva,40
398,DJ Thornely,39
399,Umar Gul,39
400,AUK Pathan,39
401,MM Patel,39
402,S Nadeem,39
403,YS Chahal,37
404,S Narwal,37
405,Sohail Tanvir,36
406,Joginder Sharma,36
407,L Balaji,36
408,KW Richardson,36
409,AN Ahmed,36
410,Anureet Singh,36
411,M Ashwin,35
412,B Sumanth,35
413,A Kumble,35
414,L Ronchi,34
415,S Sreesanth,34
416,AP Dole,34
417,A Mithun,34
418,Imran Tahir,33
419,Navdeep Saini,33
420,D Salunkhe,33
421,SB Dubey,33
422,Basil Thampi,32
423,AT Carey,32
424,RJ Peterson,32
425,Ravi Bishnoi,32
426,NS Naik,31
427,S Sriram,31
428,T Taibu,31
429,J Syed Mohammad,29
430,Arshdeep Singh,29
431,VH Zol,29
432,SB Jakati,28
433,AS Joseph,27
434,PJ Sangwan,26
435,AB Dinda,26
436,NL McCullum,26
437,TL Seifert,26
438,JM Kemp,26
439,DJ Malan,26
440,AS Rajpoot,26
441,AS Roy,26
442,MD Shanaka,26
443,Mohsin Khan,25
444,CV Varun,25
445,S Chanderpaul,25
446,A Choudhary,25
447,Sanvir Singh,25
448,ER Dwivedi,24
449,Tanush Kotian,24
450,AJ Turner,24
451,KC Cariappa,24
452,MA Khote,24
453,Umran Malik,23
454,P Dubey,23
455,AF Milne,23
456,J Arunkumar,23
457,BMAJ Mendis,23
458,SW Tait,23
459,SA Abbott,22
460,HE van der Dussen,22
461,AU Rashid,22
462,GB Hogg,22
463,KL Nagarkoti,22
464,Yudhvir Singh,22
465,TU Deshpande,21
466,DE Bollinger,21
467,B Indrajith,21
468,C Sakariya,20
469,AC Thomas,20
470,NJ Maddinson,20
471,M Muralitharan,20
472,S Kaul,20
473,RR Raje,20
474,NT Ellis,19
475,Gulbadin Naib,19
476,P Ray Barman,19
477,Y Gnaneswara Rao,19
478,Akash Deep,19
479,R Shukla,19
480,R Bishnoi,19
481,DR Martyn,19
482,P Sahu,19
483,JR Hazlewood,19
484,A Mukund,19
485,Harmeet Singh,18
486,Naveen-ul-Haq,18
487,DS Lehmann,18
488,PV Tambe,18
489,Saurav Chauhan,18
490,JJ van der Wath,18
491,KMA Paul,18
492,T Banton,18
493,Sumit Kumar,18
494,BJ Haddin,18
495,Parvez Rasool,17
496,JA Richardson,17
497,YV Dhull,16
498,AJ Hosein,16
499,CK Kapugedera,16
500,KS Sharma,16
501,PP Ojha,16
502,VY Mahesh,15
503,GR Napier,15
504,SD Lad,15
505,JL Pattinson,15
506,A Zampa,15
507,I Udana,15
508,Virat Singh,15
509,C Madan,15
510,Vijaykumar Vyshak,14
511,F Behardien,14
512,MDKJ Perera,14
513,FA Allen,14
514,G Coetzee,14
515,Kartik Tyagi,13
516,R Sai Kishore,13
517,DT Patil,13
518,Arjun Tendulkar,13
519,S Badree,13
520,KJ Abbott,13
521,Mustafizur Rahman,13
522,DR Shorey,13
523,Noor Ahmad,13
524,T Thushara,12
525,MA Wood,12
526,Mujeeb Ur Rahman,12
527,AA Chavan,12
528,AR Bawne,12
529,DAJ Bracewell,12
530,K Upadhyay,12
531,DG Nalkande,12
532,Karanveer Singh,12
533,RA Bawa,11
534,M Ntini,11
535,T Henderson,11
536,T Kohli,11
537,DNT Zoysa,11
538,TD Paine,10
539,SMSM Senanayake,10
540,X Thalaivan Sargunam,10
541,KAJ Roach,10
542,Mukesh Kumar,10
543,AG Murtaza,10
544,JE Root,10
545,J Theron,10
546,RK Bhui,10
547,BB Sran,10
548,D du Preez,10
549,AA Noffke,9
550,AA Kulkarni,9
551,L Wood,9
552,SM Harwood,9
553,M Prasidh Krishna,9
554,K Kartikeya,9
555,VG Arora,9
556,TS Mills,8
557,TM Srivastava,8
558,P Chopra,8
559,Jaskaran Singh,8
560,OC McCoy,8
561,CJ McKay,8
562,JPR Scantlebury-Searles,8
563,CK Langeveldt,8
564,D Ferreira,8
565,UA Birla,7
566,Simarjeet Singh,7
567,Pankaj Singh,7
568,M Theekshana,7
569,AN Ghosh,7
570,Ankit Soni,7
571,I Malhotra,7
572,IS Sodhi,7
573,VS Malik,7
574,V Viyaskanth,7
575,SB Joshi,6
576,SH Johnson,6
577,SS Shaikh,6
578,BA Bhatt,6
579,JP Behrendorff,6
580,PSP Handscomb,6
581,Mukesh Choudhary,6
582,DM Bravo,6
583,B Laughlin,5
584,Arshad Khan (2),5
585,Shivam Sharma,5
586,P Awana,5
587,B Stanlake,5
588,KMDN Kulasekara,5
589,SJ Srivastava,5
590,Akash Madhwal,4
591,GD McGrath,4
592,A Chandila,4
593,A Tomar,4
594,DP Nannes,4
595,RS Sodhi,4
596,FH Edwards,4
597,CRD Fernando,4
598,Liton Das,4
599,A Uniyal,4
600,VRV Singh,4
601,A Dananjaya,4
602,GC Viljoen,3
603,Fazalhaq Farooqi,3
604,Younis Khan,3
605,T Natarajan,3
606,BAW Mendis,3
607,JE Taylor,3
608,Kamran Khan,3
609,S Tyagi,3
610,Kumar Kushagra,3
611,R Ninan,3
612,RJW Topley,3
613,Mohammad Asif,3
614,D Kalyankrishna,3
615,A Singh,2
616,RJ Gleeson,2
617,Mashrafe Mortaza,2
618,T Shamsi,2
619,BR Sharath,2
620,Mohammad Ashraful,2
621,RG More,2
622,Shoaib Akhtar,2
623,Shivam Singh,2
624,GHS Garton,2
625,H Das,2
626,Harshit Rana,2
627,A Kamboj,2
628,VS Yeligati,2
629,SB Wagh,2
630,S Randiv,2
631,RS Gavaskar,2
632,KP Appanna,2
633,PM Sarvesh Kumar,1
634,LB Williams,1
635,LE Plunkett,1
636,HF Gurney,1
637,DJ Muthuswami,1
638,Abdul Basith,1
639,M de Lange,1
640,Mohit Rathee,1
641,SE Bond,1
642,KA Maharaj,1
643,KK Ahmed,1
644,MJ Suthar,1
645,Shoaib Ahmed,1
646,SZ Mulani,1
647,DP Vijaykumar,1
648,BE Hendricks,1
649,NJ Rimmington,1
650,P Parameswaran,1
651,S Lamichhane,0
652,Abdur Razzak,0
653,IC Pandey,0
654,L Ablish,0
655,YA Abdulla,0
656,Y Prithvi Raj,0
657,U Kaul,0
658,R Sanjay Yadav,0
659,RP Meredith,0
660,RR Bhatkal,0
661,S Kaushik,0
662,K Yadav,0
663,SS Cottrell,0
664,S Ladda,0
665,KR Sen,0
666,Mayank Dagar,0
667,Sunny Gupta,0
668,KM Asif,0
669,JL Denly,0
670,ND Doshi,0
671,C Nanda,0
672,Yash Dayal,0
673,V Pratap Singh,0
