bowler,runs_conceded,overs_bowled,economy
SE Rutherford,60,6.666666666666667,9.0
Abhishek Sharma,396,44.0,9.0
Jalaj S Saxena,27,3.0,9.0
V Pratap Singh,300,33.333333333333336,9.0
V Kaverappa,36,4.0,9.0
NLTC Perera,1031,114.5,9.004366812227074
AJ Tye,1005,111.33333333333333,9.02694610778443
JE Taylor,167,18.5,9.027027027027026
TG Southee,1774,196.33333333333334,9.035653650254668
Shivam Mavi,958,106.0,9.037735849056604
Mayank Dagar,205,22.666666666666668,9.044117647058822
J Little,341,37.666666666666664,9.053097345132745
JEC Franklin,225,24.833333333333332,9.060402684563758
FA Allen,136,15.0,9.066666666666666
Navdeep Saini,968,106.66666666666667,9.075
J Syed Mohammad,286,31.5,9.079365079365079
PJ Sangwan,1267,139.5,9.082437275985663
MS Gony,1317,145.0,9.082758620689654
Lalit Yadav,430,47.333333333333336,9.08450704225352
JL Pattinson,321,35.333333333333336,9.084905660377357
Mohammed Siraj,2894,318.5,9.086342229199373
SB Wagh,147,16.166666666666668,9.092783505154639
AU Rashid,91,10.0,9.1
YA Abdulla,311,34.166666666666664,9.102439024390245
M Markande,1081,118.66666666666667,9.109550561797752
DJG Sammy,354,38.833333333333336,9.115879828326179
S Kaushik,304,33.333333333333336,9.12
HV Patel,3215,352.5,9.120567375886525
C de Grandhomme,323,35.333333333333336,9.141509433962263
JO Holder,1489,162.66666666666666,9.153688524590164
T Natarajan,2001,218.5,9.157894736842104
Fazalhaq Farooqi,229,25.0,9.16
JD Unadkat,3219,351.3333333333333,9.16223908918406
GHS Garton,136,14.833333333333334,9.168539325842696
D Wiese,447,48.666666666666664,9.184931506849315
Avesh Khan,2010,218.66666666666666,9.192073170731708
PJ Cummins,1976,214.83333333333334,9.197827773467804
BA Stokes,1023,111.16666666666667,9.202398800599699
BCJ Cutting,430,46.666666666666664,9.214285714285715
CR Brathwaite,384,41.666666666666664,9.216000000000001
M Prasidh Krishna,1741,188.83333333333334,9.219770520741394
LS Livingstone,395,42.833333333333336,9.221789883268482
KK Ahmed,1918,207.83333333333334,9.228548516439455
DNT Zoysa,100,10.833333333333334,9.23076923076923
AB Agarkar,1174,127.16666666666667,9.231979030144167
VY Mahesh,511,55.333333333333336,9.234939759036145
Shoaib Ahmed,154,16.666666666666668,9.24
A Badoni,37,4.0,9.25
JP Faulkner,1849,199.5,9.268170426065163
O Thomas,85,9.166666666666666,9.272727272727273
AN Ahmed,515,55.5,9.27927927927928
AA Jhunjhunwala,130,14.0,9.285714285714286
A Ashish Reddy,400,43.0,9.30232558139535
LE Plunkett,228,24.5,9.306122448979592
N Burger,152,16.333333333333332,9.306122448979593
AS Raut,45,4.833333333333333,9.310344827586208
LH Ferguson,1451,155.83333333333334,9.311229946524064
VRV Singh,549,58.833333333333336,9.331444759206798
DB Ravi Teja,28,3.0,9.333333333333334
S Sandeep Warrier,257,27.5,9.345454545454546
AJ Finch,67,7.166666666666667,9.348837209302324
Umar Gul,198,21.166666666666668,9.354330708661417
DJ Hussey,485,51.833333333333336,9.356913183279742
RR Raje,214,22.833333333333332,9.372262773722628
DR Smith,825,88.0,9.375
RJ Gleeson,72,7.666666666666667,9.391304347826086
JP Behrendorff,563,59.833333333333336,9.409470752089137
Harshit Rana,590,62.666666666666664,9.414893617021278
Kamran Khan,248,26.333333333333332,9.417721518987342
Tejas Baroka,33,3.5,9.428571428571429
